Name,Price,Rating,Number of Reviews,Product Link
"Dell Inspiron 15.6"" Laptop - Carbon Black (Intel Core i5-1235U/16GB RAM/512GB SSD/Windows 11)",$599.99,4.4,6366,https://www.bestbuy.ca/en-ca/product/dell-inspiron-15-6-laptop-carbon-black-intel-core-i5-1235u-16gb-ram-512gb-ssd-windows-11/17862173
"Acer Aspire Go 15.6"" Laptop - Silver (Intel N100/128GB SSD/4GB RAM/Windows 11)",$249.99,3.0,2,https://www.bestbuy.ca/en-ca/product/acer-aspire-go-15-6-laptop-silver-intel-n100-128gb-ssd-4gb-ram-windows-11/17698607
"ASUS Zenbook Duo 14"" OLED Touchscreen Laptop (Intel EVO Ultra 9 - 185H /32GB RAM/1TB SSD)","$2,299.99",4.12,17,https://www.bestbuy.ca//b.us5.us.criteo.com/rm?dest=https%3A%2F%2Fwww.bestbuy.ca%2Fen-ca%2Fproduct%2Fasus-zenbook-duo-14-oled-touchscreen-laptop-intel-evo-ultra-9-185h-32gb-ram-1tb-ssd%2F17929910%3Fsource%3Dsearch%26adSlot%3D5%26slotPos%3D13&sig=1-C8gFz0QVsToUN39AAmF2jSdlbsM4wgJroDg_ym8cPlU&rm_e=MN2ZKkXZXufZS-FwcSfwys4lZ1BgNQznWT9hzPuOo6fPUR-hMj3CvBrHEyQFo0C_F2I2NFXAXr3q8EyLe4N4w9Je4KQI6Y-oFl6Ukko6x23fi3MPgIk5kU_Cocy4uGyC3KWJa00zQj93D8V54nIq-JWY8l2Dfir8lyV8lp8MXaP0MKPuJ_dLzrl3NJ-VPQ-Omp0jqYJmHYkQLawFMEpYaJhZQiV0BJmxitg7LFo1CuKUizGIpxLGJ9BWcM2LMLv_sNWslVT9Z-04qlPOeD_OoxvZeHQNWAdHw9e0_mk5g78VFewf-HQ38Thgja25avz8YpZWXlH5gx-1oyTEKdwwuXGy2bRQb-wmuO7MiZQ5vkDgbV4YXM27_TYi8DbJg1qmtjn9hb5b2CCyEw5ijmG0fA&ev=4
"ASUS Vivobook 15.6” FHD 1920 x 1080 Light and thin Laptop, AMD Ryzen 3 3250U, 8GB RAM, 256GB SSD, Windows 11 Home, Transparent Silver, AMD Radeon graphics",$389.99,0.0,0,https://www.bestbuy.ca//b.us5.us.criteo.com/rm?dest=https%3A%2F%2Fwww.bestbuy.ca%2Fen-ca%2Fproduct%2Fasus-vivobook-15-6-fhd-1920-x-1080-light-and-thin-laptop-amd-ryzen-3-3250u-8gb-ram-256gb-ssd-windows-11-home-transparent-silver-amd-radeon-graphics%2F18475004%3Fsource%3Dsearch%26adSlot%3D6%26slotPos%3D14&sig=1-HvJR0RkcjbbSyqavKNrRM2mj-0kjP8zaQpylUsMhedk&rm_e=coFMU2f_9hJ7r7F3KrXMXSp2sUdLHzWSScRI5ZYxVJHgk7Cd-avpTitDvYbLnlhgVpU-UObNVOTlN2ED7sKBPKCJXzCOYVo3jqqN-M2mBPJ_DtVT0ARuit44BKuaIkn1hvQXF_s9Zyczrchb6Oi8mTFDDilw4LGm_u54kHseIe62HAdsQICzupQg70iMBcgvUSAiBkRFszUiI3r4ovIwBb6OH3V989PlS0cBN-4SalB8gqzOLrTTf_kPVJ-mGC4lG9FphCimEGaP_srDoGps6nmQ9RLNchQzRzy7SKsqmRzT2HARPTH-OAMf2yzxmXjmccL6VnkRgtWFgVMcqzKIOeTJbVbojJ7vgN6XGfhuUZIXzlBZtsapqhyfzkGn4PpAcNqQflxuqyFBmZ3pQ_Tig1o8n32d-6OxZB0vUklIt6s&ev=4
"HP 15.6"" HD Personal PC Laptop, Intel N200 Processor, 8GB RAM, 128GB, Intel UHD Graphics, Full Size Keyboard, WiFi, Bluetooth, Scarlet Red, Windows 11",$399.99,0.0,0,https://www.bestbuy.ca//b.us5.us.criteo.com/rm?dest=https%3A%2F%2Fwww.bestbuy.ca%2Fen-ca%2Fproduct%2Fhp-15-6-hd-personal-pc-laptop-intel-n200-processor-8gb-ram-128gb-intel-uhd-graphics-full-size-keyboard-wifi-bluetooth-scarlet-red-windows-11%2F17632161%3Fsource%3Dsearch%26adSlot%3D7%26slotPos%3D15&sig=1-cBuA_fpS0o87Claqy6VWktHQNt32FEjJQkiZJr0to5E&rm_e=UOJBPqji_KPjQy6QP4KN8_3Mv2BJgrpD5PerrtujKP73xrBGHMmzW6kwpEhxA6CVGJ-Vmib8CXsSoessIF78YK6c_vBkn3fEVqF8R3qnRuK5hQ2gxDKBTv93UXmgAFSdHkX12dvRC54xwfHN1-4wSR9cyDRsxR6xe7Y1njflXmQDV671khLNwRO8LC1ZjJKPqAal9Vwc4nj332hZCewOoXY5xJZnETt7VwwOJKbQbnmoFIOM1wexaRkh0kb8SsNmfZBxnVlOLXAAKTTySwKZNGaGmXQEZ_1k9Em4PhjGc1TyUEckfDNrxhh8JqGyOR5b5KDBI8vlYcguxyCzVpslZ9e11Aa0TCbqaCmeguV4heChsV6Z598WRpBFZDK8yr2kwzsIizBABZD9uezmw3QoxQMez2uw6LV5DMTKvfruhe8&ev=4
"HP 15.6"" Laptop - Natural Silver (Intel Core i7 1255U/16GB RAM/1TB SSD/Windows 11)",$799.99,4.02,56,https://www.bestbuy.ca//b.us5.us.criteo.com/rm?dest=https%3A%2F%2Fwww.bestbuy.ca%2Fen-ca%2Fproduct%2Fhp-15-6-laptop-natural-silver-intel-core-i7-1255u-16gb-ram-1tb-ssd-windows-11%2F17981254%3Fsource%3Dsearch%26adSlot%3D8%26slotPos%3D16&sig=1-WIZfCXIlczpDKigvhu9uY22IS3M6zPmocJRRak0Fk1I&rm_e=Kc2YIp0GE8p7UHoTrja_YGCdp-W-dMBuq5uz2pyN4u1Law5Vr5KQ2PUIVVpYRUmwZ0D1Hs993QLAA_LoL0LvxIyYCySpXl5jwew2z1GqMO5fvCgD2NNKJfHw5czLonfHQWqHdAQr1TvwFjO_hSpe9MkOAnOMx7f2gnV1e5wIDcDcVaiZyVnDELZUg6jiA0JxaQMguaHC_YnJmtu0oHum_qOasJIkkObwdRj5fvObHYJjOriI8GAlwO2PxFt_5jaFpvsDhswF821vjgBebCz6xwhgGinNcQwEJIQDCrshF4JV2jDkVM_8YUr12UreG9yuygtuX4eILyq--Pu0W_gaiDlSER2wUPtJODjqA_atfYGKuABXXa_O0GAhNGwzT2z9ZsvBgTPxZEQ5x0I7TDUsOQ&ev=4
"Dell Inspiron 15.6"" Touchscreen Laptop - Platinum Silver (Intel Core i7-1355U/1TB SSD/16GB RAM/Windows 11 Home)",$899.99,4.53,838,https://www.bestbuy.ca/en-ca/product/dell-inspiron-15-6-touchscreen-laptop-platinum-silver-intel-core-i7-1355u-1tb-ssd-16gb-ram-windows-11-home/17862172
"ASUS Vivobook Go 15 L510 15.6"" Laptop - Star Black (Intel Celeron N4500/128GB SSD/4GB RAM)",$349.99,3.6,10,https://www.bestbuy.ca/en-ca/product/asus-vivobook-go-15-l510-15-6-laptop-star-black-intel-celeron-n4500-128gb-ssd-4gb-ram/17687646
"HP 15.6"" Laptop - Natural Silver (Intel Core i7 1255U/16GB RAM/1TB SSD/Windows 11)",$799.99,4.02,56,https://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-natural-silver-intel-core-i7-1255u-16gb-ram-1tb-ssd-windows-11/17981254
"Dell Latitude 7410 Laptop - 16GB RAM, SUPER FAST 256 GB NVME SSD, Intel Quad-Core (4 Core) 10th Gen i5 10310U, Full HD - 1920 x 1080 - Windows 11 Pro, "" Refurbished Good "".",$419.99,5.0,2,https://www.bestbuy.ca/en-ca/product/dell-latitude-7410-laptop-16gb-ram-super-fast-256-gb-nvme-ssd-intel-quad-core-4-core-10th-gen-i5-10310u-full-hd-1920-x-1080-windows-11-pro-refurbished-good/17213099
"HP 15.6"" Laptop - Chalkboard Grey (Intel Core i3-1215U/512GB SSD/8GB RAM/Windows 11 Home)",$499.99,4.03,336,https://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-chalkboard-grey-intel-core-i3-1215u-512gb-ssd-8gb-ram-windows-11-home/17725755
"Refurbished (Excellent) - Lenovo ThinkPad T460 14"" Ultrabook Laptop (Intel Core i5-6300U / 8GB RAM / 512GB SSD / Windows 10 Pro)",$279.97,3.64,14,https://www.bestbuy.ca/en-ca/product/refurbished-excellent-lenovo-thinkpad-t460-14-ultrabook-laptop-intel-core-i5-6300u-8gb-ram-512gb-ssd-windows-10-pro/14340736
"Acer Aspire 3 15.6"" Laptop - Silver (AMD Ryzen 5 7520U/512GB SSD/16GB RAM/Windows 11 Home)",$599.99,4.5,1030,https://www.bestbuy.ca/en-ca/product/acer-aspire-3-15-6-laptop-silver-amd-ryzen-5-7520u-512gb-ssd-16gb-ram-windows-11-home/17739399
"Acer Aspire 3 15.6"" Laptop - Silver (AMD Ryzen 5 7520U/16GB RAM/1TB SSD/Windows 11)",$899.99,4.5,1029,https://www.bestbuy.ca/en-ca/product/acer-aspire-3-15-6-laptop-silver-amd-ryzen-5-7520u-16gb-ram-1tb-ssd-windows-11/17739400
"HP 15.6"" Laptop - Jet Black (Intel N100/512 GB SSD/8GB RAM/Windows 11 Home)",$529.99,4.2,30,https://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-jet-black-intel-n100-512-gb-ssd-8gb-ram-windows-11-home/16938172
"ASUS Vivobook Go 15 15.6"" Laptop - Mixed Black (Intel Core i3-N305/8GB RAM/256GB SSD/Windows 11)",$549.99,5.0,4,https://www.bestbuy.ca/en-ca/product/asus-vivobook-go-15-15-6-laptop-mixed-black-intel-core-i3-n305-8gb-ram-256gb-ssd-windows-11/17631510
"ASUS CM14 14"" Chromebook - Gravity Grey (MediaTek Kompanio 520/64GB eMMC/4GB RAM/ChromeOS)",$359.99,4.54,28,https://www.bestbuy.ca/en-ca/product/asus-cm14-14-chromebook-gravity-grey-mediatek-kompanio-520-64gb-emmc-4gb-ram-chromeos/17631512
